,SiteId,lat,lon,Cu,Mid_Depth,Lithology1,COLOUR1,DepthFrom,DepthTo,MagSus,SGFinal
0,90AMSTRC1,-29.60403043,135.6209694,200.1509434,148.5,MAM,,143,152,,
1,90CBLRC2,-29.25548086,135.424743,21.76056338,140.5,IGR,,50,176,,
2,90EROSRC1,-29.35996167,135.6277252,24.984375,155,MGR,,120,187,,
3,90JUPRC1,-29.45105487,135.5814698,10.88541667,118,IGR,,117,122,,
4,90MARSRC1,-29.28187729,135.6214823,70.05555556,117,MGR,,102,122,703.9795918,
5,90NEPTRC1D,-29.73900583,135.6322643,898.3423913,169,VBX,,102,198,19.51,
6,90NEPTRC2,-29.73846437,135.6322609,616.6176471,134,VDA,,74,168,,
7,90SATRC1,-29.42995423,135.5451627,7.042857143,96.14285714,MAM,,81,126,,
8,90SIMRC1,-29.35176811,135.6426124,22.24137931,109,IGR,,107,127,2184.193548,
9,90URANRC1,-29.71830196,135.5772037,909.1791045,166.2164179,MAM,,162,200,,
10,91ALPHARC1,-29.74128349,135.66111,52.31034483,144.3793103,VDA,,101,188,,
11,91NEPTRC3,-29.74067362,135.6364009,111.4166667,154.5833333,MUS,,92,166,,
12,91NSRC1,-29.74846549,135.6318893,30.61538462,156.9807692,MUS,,114,162,,
13,92RCD1,-29.73900807,135.6280038,557.7692308,196.3538462,VAN,,78,210.5,,
14,93DD10,-29.71664326,135.5747026,963.4950495,159.5007426,SLM,,158.95,161.71,776.9879412,
15,93RC3,-29.60404743,135.707718,93.75,188.03125,KCS,PNK,184,204,,
16,93RC4,-29.6562463,135.7504461,26,97.7,MGN,PNK,85,112,,
17,93RC5D,-29.69985897,135.7776459,3.85,140.975,MSC,,93,153,,
18,93RC6,-29.58801795,135.6291318,15.93333333,118.9,MGN,,74,161,,
19,93RC7,-29.51674755,135.6039264,5.318181818,109.9886364,MGN,GRY,86,175,,
20,93RC8,-29.44927863,135.6344611,14,96.125,FTZ,,92,104,,
21,93RC9,-29.10342846,135.3692377,34.66666667,86.88888889,MGN,PNK,60,112,,
22,94AC11,-29.67486157,135.5418283,7,57.75,MSC,,56,59,,
23,94AC12,-29.66403198,135.5417703,13.4,87.4,IGB,,82,94,,
24,94AC13,-29.65816595,135.5417389,23.66666667,44.83333333,IGB,,44,47,,
25,94AC14,-29.65004374,135.5416954,16.66666667,52.5,IGB,,52,55,,
26,94AC15,-29.64643386,135.541676,18.5,54,IDR,,52,56,,
27,94AC16,-29.64375996,135.5333966,14,35.75,LCV,,0,36,,
28,94AC17,-29.65639453,135.5334632,22.5,64.75,IGB,,61,70,,
29,94AC18,-29.66559822,135.4870104,28,141.75,LCV,,0,143,,
30,94AC19,-29.64754872,135.4869235,37.5,52,IGB,,52,54,,
31,94AC20,-29.64078014,135.486891,79,80.2,IGB,,70,90,,
32,94AC23,-29.69096892,135.458708,53,84,MGN,,82,86,,
33,94AC24,-29.64223512,135.4584869,35,110.5,IGB,,110,111,,
34,94AC25,-29.61967306,135.4583848,35,55.025,INT,,55,56.08,,
35,94AC26,-29.63093615,135.4636008,27.5,73.5,IGB,,70,76,,
36,94AC27,-29.62281381,135.4635636,11,72.5,IGR,,72,73,,
37,94AC28,-29.65135179,135.4311478,6,68.5,MMR,,68,69,,
38,94AC30,-29.61480112,135.4309922,93.33333333,26.83333333,IGB,,26,29,,
39,94AC31,-29.62111854,135.4310191,15.5,31.55,LCV,,0,32,,
40,94AC32,-29.61975132,135.4351449,20,22.5,MGN,,22,23,,
41,94AC34,-29.66983808,135.556269,23.71428571,77.35714286,MSC,,60,92,,
42,94AC35,-29.66622823,135.5562492,16.25,67.8125,MSC,,55,78.5,,
43,94AC36,-29.66437953,135.5665725,5.666666667,76.33333333,MSC,,68,82,,
44,94AC38,-29.70134924,135.5740159,15,86.5,MUS,,84,87,,
