,latitude,longitude,Au,Mid_Depth,DepthFrom,DepthTo,MagSus,MassInAir,MassInWater,SGFinal
0,-29.25548086069217,135.42474300001248,0.022000000000000013,140.0,50.0,176.0,214.55319174113174,6964.892439465297,4484.183710425461,2.868477460296329
1,-29.73900583063809,135.63226430818426,0.06017142857142851,172.23714285714286,102.0,198.0,19.509999999999998,6826.569185697939,4293.112587613878,2.842225965353673
2,-29.73846436562918,135.63226091180832,0.07406250000000003,134.578125,74.0,168.0,109.16223643067315,6827.333517792536,4332.417828564283,2.849194455853722
3,-29.71830195697897,135.57720369885328,0.0665671641791045,166.21641791044777,162.0,200.0,72.04763757621731,6859.7657175383865,4357.856605208772,2.8219698106241036
4,-29.73900806656089,135.62800381280508,0.012568965517241385,191.26724137931035,78.0,210.5,119.13929455411017,6735.3235866066825,4231.523268952093,2.8787780427193046
5,-29.716643255429396,135.57470255775897,0.01316831683168317,159.50074257425743,158.95,161.71,776.9879411764706,6358.371871523817,4140.708023880137,2.9365747026753564
6,-29.60404742726853,135.70771799215248,3.125e-06,188.03125,184.0,204.0,61.903012514121656,6760.31808878473,4262.266464978469,2.8224036048794408
7,-29.65624630451523,135.75044605244494,0.0,97.7,85.0,112.0,74.57709048730067,6790.8985803359465,4296.369241393704,2.8181327040383484
8,-29.6998589699225,135.7776459095683,0.0,125.81818181818181,93.0,153.0,85.44059712590024,6772.566644000406,4284.813761284699,2.8343221862429275
9,-29.588017950238513,135.62913179079652,0.0,118.9,74.0,161.0,133.2451937111946,6884.544961308537,4401.835419932328,2.843008515419142
10,-29.51674754802273,135.6039263641652,4.5454545454545457e-07,109.98863636363636,86.0,175.0,154.4139683603662,6969.949591164965,4501.885607975344,2.8370648134557146
11,-29.4492786259408,135.63446107565395,0.0,96.125,92.0,104.0,101.30252754198409,6857.85922654485,4362.451459862243,2.8127388548157333
12,-29.103428462557396,135.3692377093911,2.2222222222222225e-06,86.88888888888889,60.0,112.0,200.67842135502906,7050.7129556397995,4566.9885104613295,2.828512856552077
13,-29.674861572973576,135.54182832755922,0.0,57.75,56.0,59.0,72.0324841093443,6888.925301492989,4371.946187837921,2.8027272089559956
14,-29.66403198355078,135.54177028182673,0.0004,87.4,82.0,94.0,74.7667125552689,6879.239615098937,4364.863753825888,2.808813467674711
15,-29.658165948509716,135.5417388536203,0.0006666666666666666,44.833333333333336,44.0,47.0,77.50931801905972,6902.310021399851,4387.297415591744,2.8014403199022926
16,-29.650043737519074,135.5416953529872,0.0,52.5,52.0,55.0,77.24746745042648,6898.732343043732,4384.009105023857,2.802144704144851
17,-29.64643386275259,135.54167602509102,0.0,54.0,52.0,56.0,78.01831184349066,6896.293148452169,4381.495880330411,2.8029967266622924
18,-29.64375995762537,135.53339660672398,0.0,35.75,0.0,36.0,103.14227564955218,6893.628637391692,4379.906167100908,2.8186416200293176
19,-29.65639453294847,135.53346322834628,0.0015,64.75,61.0,70.0,78.7782803513619,6897.614690300732,4383.186089021838,2.8054915445314808
20,-29.647548717590823,135.4869235248584,0.0,52.0,52.0,54.0,79.83822930142924,6923.529296545385,4404.703465903944,2.8010648155218867
21,-29.64078013993037,135.48689095512498,0.0,80.2,70.0,90.0,88.75182016986219,6916.697713849047,4402.056892651375,2.811018290938602
22,-29.64223512440419,135.4584869425613,0.0,110.5,110.0,111.0,68.96638283591165,6892.4416193816105,4368.51984655922,2.806125782935136
23,-29.61967306104587,135.4583847796611,0.0,55.025,55.0,56.08,84.14505725134586,6935.447415436407,4415.448463084023,2.8010847640783942
24,-29.63093615080646,135.46360083179047,0.0,73.5,70.0,76.0,81.88742950747837,6920.348578858935,4400.31716261359,2.804928998739036
25,-29.62281380889113,135.46356364643378,0.0,72.5,72.0,73.0,79.56904048900833,6919.005606979819,4398.161698774751,2.802860616283648
26,-29.651351789280056,135.43114784949853,0.0,68.5,68.0,69.0,77.73382166404554,6933.478983454461,4408.874869946949,2.8017769227169875
27,-29.614801122312226,135.43099221158462,0.0013333333333333333,26.833333333333332,26.0,29.0,93.72556345928024,6970.3519345266905,4450.55323517338,2.7988683315984217
28,-29.619751318689552,135.43514487827915,0.0,22.5,22.0,23.0,91.92153299480015,6967.510850163249,4446.929507085699,2.7978858561535764
29,-29.669838081728397,135.55626904652766,0.0,77.35714285714286,60.0,92.0,90.30150432116352,6891.007114062668,4383.025609578639,2.816233771065489
30,-29.666228226580486,135.55624918271968,0.0,67.8125,55.0,78.5,86.28515874286677,6891.626589413092,4381.742469357061,2.812037252650404
31,-29.664379532749837,135.56657247684402,0.0006666666666666666,76.33333333333333,68.0,82.0,76.77955933900739,6872.242471821428,4359.727414139214,2.809413052457093
32,-29.70134923725285,135.5740159113766,0.003,86.5,84.0,87.0,60.11751082545743,6849.000071562004,4331.272344502586,2.8057361278105644
33,-29.636718989999697,135.48687141862104,0.003352941176470589,94.19308823529411,92.05,94.41,72.52255690016136,6890.08555135351,4369.176459716977,2.8058235225352064
34,-29.69500286953032,135.4587573450471,0.005604395604395607,111.47346153846154,111.4,113.3,61.58572985437422,6888.754408760771,4362.66688990253,2.8057454520164242
35,-29.643680678421784,135.43111516095757,0.0029090909090909093,89.21590909090908,87.65,90.5,76.01456615013558,6920.903548682731,4396.377290694421,2.8045444659503773
36,-29.69613991477957,135.45878318448356,0.003210000000000002,121.00319999999999,108.1,131.6,75.76158364800176,6895.108275239079,4374.235752407794,2.8154925885261854
37,-29.70811765734055,135.57405440337456,0.0,88.70428571428572,84.7,93.32,63.33068734259541,6855.034233161146,4339.249775204582,2.8076418565148917
38,-29.340294174774915,135.58640241563072,0.0,38.5,38.0,39.0,123.4565777009484,6918.012242316054,4423.2614990440015,2.8042865386647717
39,-29.34570919380938,135.58643341424926,0.0,77.5,62.0,79.0,125.23853573994711,6885.131700330472,4389.763259886351,2.8160263542388453
40,-29.352396752045802,135.58441134872984,0.0,56.5,50.0,59.0,123.70228825052072,6906.478946888339,4411.599623502572,2.8094553120159804
41,-29.350212634416327,135.5885195172418,0.0,43.75,43.0,44.0,120.67172887267225,6911.592983475246,4416.085245244507,2.8047661275374196
42,-29.35292013942973,135.58853507773821,0.0,55.75,52.0,59.0,122.44136887186141,6907.9852673510395,4413.69534053077,2.8081565825089676
43,-29.352360397732447,135.59265257841977,0.0,54.5,52.0,55.0,119.26263020293663,6901.630896649982,4406.075464705309,2.8067796099120126
44,-29.3403479162947,135.57404200785692,0.0,37.15,37.0,37.3,123.83388926146836,6924.00405607673,4428.197241411697,2.8037389091592355
45,-29.348796447824267,135.51640107953602,0.000125,65.875,54.0,74.0,134.4959284644101,6941.110678304834,4444.64329431497,2.813711736635522
46,-29.35144929905665,135.50714285997236,0.0,39.125,32.0,42.0,132.27402403298947,6954.641003671481,4455.234689371959,2.8073124376815723
47,-29.35146877842257,135.50199206537994,0.0013333333333333333,41.833333333333336,36.0,47.0,133.2098102875534,6960.654962721677,4462.026811980419,2.80736767823277
48,-29.346443534443626,135.49424147303586,0.001,44.5,40.0,48.0,131.45308727280462,6959.871175891381,4459.818758284402,2.8064716954595914
49,-29.308032386739487,135.53164185119098,0.0,45.5,40.0,46.0,133.0997479044272,6939.336374012419,4442.397839995274,2.8072553276471766
