Project,SiteId,Depth_From,Depth_To,Altmineral1,Altstyle1,Altmineral2,Altstyle2
MTW,MTWOOD1,95.7,113.0,CH,V,,
MTW,MTWOOD1,113.0,145.6,CH,DF,PY,DF
MTW,SR4,83.1,102.5,CH,NL,,
SAR,90AMSTRC1,143.0,152.0,ph,NL,,
SAR,90EROSRC1,84.0,91.0,ep,NL,,
SAR,90MARSRC1,83.0,102.0,ph,NL,,
SAR,90MARSRC1,126.0,127.0,mt,NL,ph,NL
SAR,90MARSRC1,133.0,144.0,am,NL,ph,NL
SAR,90NEPTRC1D,102.0,198.0,cp,NL,,
SAR,90NEPTRC1D,225.27,225.52,hm,NL,kf,NL
SAR,90NEPTRC1D,235.98,237.5,kf,NL,mt,NL
SAR,90NEPTRC2,74.0,168.0,cp,NL,,
SAR,90SIMRC1,100.0,107.0,mt,NL,,
SAR,90URANRC1,134.0,144.0,mt,NL,,
SAR,90URANRC1,159.0,162.0,mt,NL,,
SAR,91NEPTRC3,166.0,180.0,py,NL,,
SAR,92RCD1,78.0,210.5,bi,NL,lx,NL
SAR,92RCD1,210.5,251.0,ch,P,hm,NL
SAR,93DD10,109.18,117.02,ab,NL,,
SAR,93DD10,117.96,124.1,cb,NL,,
SAR,93DD10,124.1,127.1,sa,NL,,
SAR,93DD10,127.1,129.56,mt,NL,,
SAR,93DD10,129.56,131.85,sa,NL,,
SAR,93DD10,139.28,140.9,am,NL,,
SAR,93DD10,141.0,141.6,mt,NL,,
SAR,93DD10,141.6,142.15,ca,NL,,
SAR,93DD10,142.15,153.96,mt,NL,,
SAR,93DD10,157.06,158.95,mt,NL,,
SAR,93DD10,161.71,167.41,mt,NL,,
SAR,93DD10,172.52,172.71,mt,NL,,
SAR,93DD10,181.7,182.5,mt,NL,,
SAR,94ACD22,119.7,124.8,mt,NL,,
SAR,94ACD33,88.01,88.7,ab,NL,,
SAR,94ACD33,88.7,90.85,ab,NL,,
SAR,94ACD33,90.85,98.17,mt,NL,,
SAR,94ACD33,102.2,105.3,mt,NL,,
SAR,94ACD33,105.3,108.1,hm,NL,mt,NL
SAR,94ACD33,108.1,131.6,mt,NL,,
SAR,94ACD33,132.3,145.3,mt,NL,,
SAR,95AC85,39.0,50.0,qt,NL,,
SAR,95ACD66,90.21,91.49,mt,NL,,
SAR,95ACD71,109.1,109.4,ch,NL,,
SAR,95ACD74,129.5,167.5,ch,NL,,
SAR,95ACD74,167.5,172.0,mt,NL,,
SAR,95ACD74,172.0,176.9,mt,NL,,
SAR,95ACD74,176.9,203.1,mt,NL,,
SAR,95ACD74,203.7,209.4,mt,NL,,
SAR,95ACD74,209.4,209.8,mt,NL,,
SAR,95ACD74,209.8,209.9,mt,NL,,
SAR,95ACD74,209.9,211.0,mt,NL,,
SAR,95ACD74,211.0,211.9,mt,NL,,
SAR,95ACD74,212.5,214.8,cb,NL,,
SAR,95ACD74,214.8,299.7,mt,NL,,
