SiteId,PROJECT,PROSPECT,SiteType,TDEPTH,East,North,RL,Grid,Azimuth,Dip,North_Adjust,Site_Status,Date,Comments,geometry,latitude,longitude
90AMSTRC1,SAR,ARM,UN,175.0,560128.0,6724929.0,183.42,GDA94_53S,360.0,-60.0,0.0,,,Drilled by Burmine Exploration Ltd Logging = 81m depth to basement,POINT (135.6209693662447 -29.6040304345167),-29.604030434516698,135.6209693662447
90CBLRC1,SAR,CBL,UN,90.0,541267.0,6763592.0,138.2,GDA94_53S,355.0,-60.0,0.0,,,Drilled by Burmine Exploration Ltd. No samples submitted for analysis Logging = 55m depth to basement,POINT (135.4247342739822 -29.2558599591579),-29.255859959157892,135.4247342739822
90CBLRC2,SAR,CBL,UN,176.0,541268.0,6763634.0,138.08,GDA94_53S,355.0,-60.0,0.0,,,Drilled by Burmine Exploration Ltd. Logging = 50m depth to basement,POINT (135.4247430000125 -29.25548086069217),-29.25548086069217,135.42474300001248
90EARRC1,SAR,EAR,UN,174.0,567848.0,6712549.0,206.15,GDA94_53S,360.0,-60.0,0.0,ABANDONED,,Drilled by Burmine Exploration Ltd Logging = basement not reached,POINT (135.7014672283697 -29.71535551517101),-29.715355515171012,135.70146722836972
90EROSRC1,SAR,ERO,UN,187.0,560928.0,6751969.0,137.75,GDA94_53S,360.0,-60.0,0.0,,,Drilled by Burmine Exploration Ltd Logging = 57m depth to basement,POINT (135.6277252164071 -29.35996166586881),-29.359961665868806,135.62772521640713
90JUPRC1,SAR,JUP,UN,180.0,556388.0,6741899.0,150.44,GDA94_53S,360.0,-60.0,0.0,,,Drilled by Burmine Exploration Logging = 36m depth to basement,POINT (135.5814698206044 -29.45105486784784),-29.451054867847844,135.58146982060444
90MARSRC1,SAR,MARS,UN,144.0,560368.0,6760624.0,136.45,GDA94_53S,360.0,-60.0,0.0,,,Drileld by Burmine Exploration Ltd Logging = 42m depth to basement,POINT (135.6214823212961 -29.28187729157874),-29.281877291578738,135.62148232129607
90NEPTRC1D,SAR,NEP,UN,261.0,561140.0,6709967.0,208.23,GDA94_53S,360.0,-60.0,0.0,,,Drilled by Burmine Exploration Pty Ltd Logging = 77m depth to basement,POINT (135.6322643081843 -29.73900583063809),-29.73900583063809,135.63226430818426
90NEPTRC2,SAR,NEP,UN,168.0,561140.0,6710027.0,208.57,GDA94_53S,360.0,-60.0,0.0,ABANDONED,,Drilled by Burmine Exploration Pty Ltd Logging = 74m depth to basement,POINT (135.6322609118083 -29.73846436562918),-29.73846436562918,135.63226091180832
90SATRC1,SAR,SAT,UN,138.0,552878.0,6744254.0,148.75,GDA94_53S,360.0,-60.0,0.0,,,Drilled by Burmine Exploration Ltd Logging = 42m depth to basement,POINT (135.5451627353929 -29.42995422959927),-29.42995422959927,135.54516273539292
90SIMRC1,SAR,SIM,UN,138.0,562378.0,6752869.0,137.56,GDA94_53S,50.0,-60.0,0.0,,,Drilled by Burmine Exploration Ltd Logging = 49m depth to basement,POINT (135.642612433725 -29.35176810586664),-29.351768105866643,135.64261243372505
90URANRC1,SAR,PHE,UN,200.0,555827.0,6712289.0,208.59,GDA94_53S,360.0,-60.0,0.0,,,Drilled by Burmine Exploration Pty Ltd Logging = 132m depth to basement,POINT (135.5772036988533 -29.71830195697898),-29.718301956978973,135.57720369885328
91ALPHARC1,SAR,NEP,UN,188.0,563928.0,6709699.0,213.99,GDA94_53S,360.0,-60.0,0.0,,,,POINT (135.6611100250585 -29.74128348956178),-29.74128348956178,135.66111002505852
91NEPTRC3,SAR,NEP,UN,195.0,561539.0,6709780.0,208.76,GDA94_53S,360.0,-60.0,0.0,,,,POINT (135.6364009124245 -29.74067361952669),-29.740673619526692,135.6364009124245
91NSRC1,SAR,NEP,UN,195.0,561098.0,6708919.0,209.35,GDA94_53S,360.0,-60.0,0.0,,,,POINT (135.6318892950632 -29.7484654871857),-29.7484654871857,135.63188929506322
92RC2,SAR,BLZ,UN,80.0,568528.0,6724869.0,174.11,GDA94_53S,360.0,-90.0,0.0,,,"MetalsEX and Burmine JV, NorEx (1991-1994)",POINT (135.7077186223191 -29.60413767187629),-29.604137671876288,135.70771862231913
92RCD1,SAR,NEP,UN,260.0,560728.0,6709969.0,208.07,GDA94_53S,360.0,-90.0,0.0,COMPLETED,,"MetalsEX and Burmine JV, NorEx (1991-1994)",POINT (135.6280038128051 -29.73900806656088),-29.73900806656089,135.62800381280508
93DD10,SAR,PHE,UN,210.15,555586.0,6712474.0,209.04,GDA94_53S,360.0,-90.0,0.0,,,"MetalsEX and Burmine JV, NorEx (1991-1994)",POINT (135.574702557759 -29.7166432554294),-29.716643255429396,135.57470255775897
93RC3,SAR,BLZ,UN,236.0,568528.0,6724879.0,174.1,GDA94_53S,360.0,-90.0,0.0,,,"MetalsEX and Burmine JV, NorEx (1991-1994)",POINT (135.7077179921525 -29.60404742726854),-29.604047427268533,135.70771799215248
93RC4,SAR,FITS,UN,112.0,572628.0,6719069.0,179.94,GDA94_53S,360.0,-90.0,0.0,,,"MetalsEX and Burmine JV, NorEx (1991-1994)",POINT (135.7504460524449 -29.65624630451523),-29.65624630451523,135.75044605244494
93RC5D,SAR,TOR,UN,165.0,575228.0,6714219.0,195.19,GDA94_53S,360.0,-90.0,0.0,COMPLETED,,"MetalsEX and Burmine JV, NorEx (1991-1994). Possible DD tail extension",POINT (135.7776459095683 -29.6998589699225),-29.6998589699225,135.7776459095683
93RC6,SAR,ARMN,UN,161.0,560928.0,6726699.0,182.62,GDA94_53S,180.0,-60.0,0.0,,,"MetalsEX and Burmine JV, NorEx (1991-1994)",POINT (135.6291317907965 -29.58801795023851),-29.588017950238513,135.62913179079652
93RC7,SAR,WDF,UN,175.0,558528.0,6734609.0,167.345,GDA94_53S,360.0,-90.0,0.0,,,"MetalsEX and Burmine JV, NorEx (1991-1994)",POINT (135.6039263641652 -29.51674754802273),-29.51674754802273,135.6039263641652
93RC8,SAR,SCP,UN,133.0,561528.0,6742069.0,154.45,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.634461075654 -29.4492786259408),-29.4492786259408,135.63446107565395
93RC9,SAR,YDG,UN,234.0,535928.0,6780499.0,120.31,GDA94_53S,360.0,-90.0,0.0,,1993-01-10,"MetalsEX and Burmine JV, NorEx (1991-1994)",POINT (135.3692377093911 -29.1034284625574),-29.103428462557396,135.3692377093911
94AC11,SAR,WTH,UN,59.0,552428.0,6717119.0,201.4,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5418283275592 -29.67486157297358),-29.674861572973576,135.54182832755922
94AC12,SAR,WTH,UN,94.0,552428.0,6718319.0,196.41,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5417702818267 -29.66403198355078),-29.66403198355078,135.54177028182673
94AC13,SAR,WTH,UN,47.0,552428.0,6718969.0,196.46,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5417388536203 -29.65816594850972),-29.658165948509716,135.5417388536203
94AC14,SAR,WTH,UN,55.0,552428.0,6719869.0,195.87,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5416953529872 -29.65004373751907),-29.650043737519074,135.5416953529872
94AC15,SAR,WTH,UN,56.0,552428.0,6720269.0,200.68,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.541676025091 -29.64643386275259),-29.64643386275259,135.54167602509102
94AC16,SAR,WTH,UN,37.0,551628.0,6720569.0,200.46,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.533396606724 -29.64375995762536),-29.643759957625367,135.53339660672398
94AC17,SAR,WTH,UN,70.0,551628.0,6719169.0,200.96400000000003,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5334632283463 -29.65639453294847),-29.65639453294847,135.53346322834628
94AC18,SAR,WTH,UN,143.0,547128.0,6718169.0,202.3,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4870104318516 -29.66559822405055),-29.66559822405055,135.48701043185156
94AC19,SAR,WTH,UN,54.0,547128.0,6720169.0,202.44,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4869235248584 -29.64754871759083),-29.647548717590826,135.4869235248584
94AC20,SAR,WTH,UN,90.0,547128.0,6720919.0,215.807,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.486890955125 -29.64078013993037),-29.64078013993037,135.48689095512498
94AC23,SAR,JDMS,UN,86.0,544378.0,6715369.0,213.59,GDA94_53S,360.0,-90.0,0.0,,,"MetalsEX and Burmine JV, NorEx (1991-1994)",POINT (135.4587080115338 -29.69096891792833),-29.690968917928327,135.45870801153384
94AC24,SAR,WTH,UN,111.0,544378.0,6720769.0,212.504,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4584869425613 -29.64223512440419),-29.64223512440419,135.4584869425613
94AC25,SAR,WTH,UN,56.1,544378.0,6723269.0,199.89,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4583847796611 -29.61967306104587),-29.61967306104587,135.4583847796611
94AC26,SAR,WTH,UN,76.0,544878.0,6722019.0,214.928,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4636008317905 -29.63093615080646),-29.63093615080646,135.46360083179047
94AC27,SAR,WTH,UN,73.0,544878.0,6722919.0,208.607,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4635636464338 -29.62281380889113),-29.62281380889113,135.46356364643378
94AC28,SAR,WTH,UN,69.0,541728.0,6719769.0,212.64,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4311478494985 -29.65135178928006),-29.651351789280056,135.43114784949853
94AC30,SAR,WTH,UN,29.0,541728.0,6723819.0,184.49,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4309922115846 -29.61480112231222),-29.614801122312226,135.43099221158462
94AC31,SAR,WTH,UN,32.2,541728.0,6723119.0,185.58,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.431019091458 -29.62111853600294),-29.621118536002946,135.43101909145798
94AC32,SAR,WTH,UN,23.0,542128.0,6723269.0,187.09,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4351448782792 -29.61975131868955),-29.619751318689552,135.43514487827915
94AC34,SAR,WTH,UN,92.0,553828.0,6717669.0,203.51,GDA94_53S,360.0,-90.0,0.0,,,"MetalsEX and Burmine JV, NorEx (1991-1994)",POINT (135.5562690465277 -29.66983808172839),-29.669838081728397,135.55626904652766
94AC35,SAR,WTH,UN,78.5,553828.0,6718069.0,200.88,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5562491827197 -29.66622822658048),-29.666228226580483,135.55624918271968
94AC36,SAR,WTH,UN,82.0,554828.0,6718269.0,208.48,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.566572476844 -29.66437953274984),-29.664379532749837,135.56657247684402
94AC38,SAR,URNN,UN,87.0,555528.0,6714169.0,210.07,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5740159113766 -29.70134923725285),-29.70134923725285,135.5740159113766
94AC41,SAR,NEPN,UN,102.4,558928.0,6711494.0,206.13,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.6093072679106 -29.72533277191234),-29.725332771912345,135.6093072679106
94AC42,SAR,NEPN,UN,93.0,559128.0,6712019.0,204.77,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.6113464244583 -29.72058538923132),-29.72058538923132,135.6113464244583
94AC43,SAR,NEPN,UN,110.0,559978.0,6711629.0,208.41,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.6201561043523 -29.72406405789306),-29.724064057893067,135.6201561043523
94ACD21,SAR,WTH,UN,111.0,547128.0,6721369.0,213.993,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.486871418621 -29.6367189899997),-29.636718989999697,135.48687141862104
94ACD22,SAR,JDMS,UN,156.67,544381.0,6714922.0,213.06,GDA94_53S,360.0,-90.0,0.0,,,"MetalsEX and Burmine JV, NorEx (1991-1994)",POINT (135.4587573450471 -29.69500286953032),-29.69500286953032,135.4587573450471
94ACD29,SAR,WTH,UN,103.32,541728.0,6720619.0,216.71,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.4311151609576 -29.64368067842178),-29.643680678421784,135.43111516095757
94ACD33,SAR,JDMS,UN,171.14,544383.0,6714796.0,212.86,GDA94_53S,360.0,-90.0,0.0,,,"MetalsEX and Burmine JV, NorEx (1991-1994)",POINT (135.4587831844836 -29.69613991477957),-29.69613991477957,135.45878318448356
94ACD37,SAR,URNN,UN,93.32,555528.0,6713419.0,209.78,GDA94_53S,360.0,-90.0,0.0,,,,POINT (135.5740544033746 -29.70811765734055),-29.70811765734055,135.57405440337456
