CATEGORY,CODE,DESCRIPTION
LITH,CLAY,Clay
LITH,NS,No Sample
LITH_CODE,BCL,Chlorite Breccia
LITH_CODE,BFL,Fault Breccia
LITH_CODE,BHF,Hydrofractured Breccia
LITH_CODE,BHM,Hematite Breccia
LITH_CODE,BHQ,Hematite - Quartz Breccia
LITH_CODE,BHY,Hyaloclastite Breccia
LITH_CODE,BIF,Banded Iron Formation
LITH_CODE,BKF,Karst Fill
LITH_CODE,BMG,Magnetite Breccia
LITH_CODE,BML,Float Breccia
LITH_CODE,BQZ,Quartz Breccia
LITH_CODE,BRC,Breccia
LITH_CODE,BRD,Dolomitic Breccia
LITH_CODE,BRE,Undifferentiated Breccia
LITH_CODE,BRL,Limestone Breccia
LITH_CODE,BVN,Vein Breccia
LITH_CODE,CARB,x_Carbonate rock (IMX code)
LITH_CODE,CAT,Cataclisite
LITH_CODE,CBR,XCarbonate (Old Code-Do not use = SDO or SLM)
LITH_CODE,CLA,Clay
LITH_CODE,CLS,Core loss
LITH_CODE,CSIL,x_Calc-silicate (IMX code)
LITH_CODE,CVT,Cavity
LITH_CODE,DSS,Disseminated Sulphides
LITH_CODE,DYK,XPorphyritic dyke (Old Code-Do not use = IPO)
LITH_CODE,FLT,XFelspathic lapilli tuff (Old Code-Do not use = VLF)
LITH_CODE,FQP,XFeldspathic-quartz porphyry (Old Code-Do not use = IQP)
LITH_CODE,FQT,XFelspathic quartz crystal tuff (Old Code-Do not use = VXF)
LITH_CODE,FTZ,Fault Zone
LITH_CODE,GOS,Gossan
LITH_CODE,GRAN,>90% Granite
LITH_CODE,GYP,Gypsum
LITH_CODE,HMR,Hematite Rock
LITH_CODE,HMRK,XHematite Rock (Old code - Do not use)
LITH_CODE,HQBX,XHematite - Quartz Breccia (Old Code - Do not use)
LITH_CODE,IAL,Aplite
LITH_CODE,IAN,Anorthosite
LITH_CODE,IDM,Microdiorite
LITH_CODE,IDO,Dolerite
LITH_CODE,IDR,Diorite
LITH_CODE,IFS,Intrusive Felsic
LITH_CODE,IGB,Gabbro
LITH_CODE,IGD,Granodiorite
LITH_CODE,IGN,Gabbronorite
LITH_CODE,IGR,Granite
LITH_CODE,IGT,Granitoid
LITH_CODE,IIN,Instrusive Intermediate
LITH_CODE,ILM,Lamprophyre
LITH_CODE,IMD,Monzodiorite
LITH_CODE,IMF,Intrusive Mafic
LITH_CODE,IMK,Mafic Dyke
LITH_CODE,IMZ,Monzonite
