CODE,DESCRIPTION
ARCN,Arcoona Qtztite
BASE,Basement Rocks
BEDA,Beda Volcanics
CBXC,Carrapateena Bx Cplx
CONG,Basal Conglomerate
CORR,Corraberra Sandstone
DONI,Donington Suite
FRCH,French Dolm in WHYA
GRVL,Gawler Range Volc's
HILT,Hiltaba Suite Granite
KBXC,Khamsin Breccia Complex
MAFI,Mafic Dyke
NL,Not Logged
NUCC,Nuccaleena Fm
PAND,Pandurra Formation
TAPL,Tapley Hill Formation
TENT,Tregolana Shale: Tent Hill Formation
TIND,Tindelpina Shale
WALR,Wallaroo Group
WHYA,Whyalla Sandstone
WOOC,Woocalla Dolomite
WOOM,Woomera Shale
