MAP_SYMBOL,GIS_CODE,STRAT_NAME,STRAT_UNIT_DESC
"A","A-","Archaean rocks","Undifferentiated Archaean rocks."
"A-c","A----c","Cooyerdoo Granite","Granite, medium-grained, K-feldspar+plagioclase+quartz+biotite+minor opaques; weakly lineated and foliated; feldspar and quartz-rich leucocratic bands; biotite-rich schlieren; granodioritic compositional banding. I-type, U-Pb age 3157+/-2Ma."
"A-c1","A----c--01","Cooyerdoo Granite unit 1","Granitic gneiss, medium grained, quartz+K-feldspar+plagioclase+biotite, orange-pink leucocratic bands and blue-grey biotite-rich bands.  Foliation tight to isoclinally folded, locally wraps K-feldspar megacrysts."
"A-o","A----o","Coolanie Gneiss","Gneiss, mylonitic and augen; granite gneiss, often fine-grained, strongly rodded. S-type, crystallisation 2823+/-37Ma, metamorphism 2427+/4Ma."
"A1","A-------01","Archaean unit 1","Dolerite, weakly foliated, recrystallised, fine to medium-grained; varies to amphibolite, strongly foliated, fine-grained; as dykes and plugs, hornblende+biotite+plagioclase+opaques.  Deformed by same fabric as host Cooyerdoo Granite; dykes typically orientated subparallel to fabric. Inferred age 3150-2500 Ma.
."
"AD","AD","Archaean-Devonian rocks","Undifferentiated Archaean to Devonian rocks."
"AL","AL","Archaean-Palaeoproterozoic rocks","Undifferentiated Archaean and/or Palaeoproterozoic rocks."
"AL1","AL------01","Archaean-Palaeoproterozoic unit 1","Iron formation, Mulgathing Complex and Sleaford Complex."
"AL2","AL------02","Archaean-Palaeoproterozoic unit 2","Undifferentiated Mesoarchaean to Palaeoproterozoic granite and gneissic granite: Cooyerdoo Granite, Sleaford Complex and Kimban granites."
"AL3","AL------03","Archaean-Palaeoproterozoic unit 3","Undifferentiated Mesoarchaean to Palaeoproterozoic amphibolite."
"ALd","ALsd","Dutton Suite","Granite, even-grained to porphyritic and gneissic; granodiorite, abundant mafic xenoliths. ~2519-2348 Ma."
"ALdc","ALsd-c","Coulta Granodiorite","Granite; granodiorite; with abundant mafic xenoliths. Foliated."
"ALdk","ALsd-k","Kiana Granite","Granite, porphyritic, gneissic. Weak to strong alignment of tabular feldspars."
"ALdw","ALsd-w","Whidbey Granite","Granite, massive, even grained. Weakly foliated. Age 2337+/-71 Ma."
"ALm","ALm","Mulgathing Complex","Paragneiss, arenaceous and aluminous; iron formation; granitic gneiss; felsic and mafic-ultramafic volcanic and intrusive rocks. Granulite to amphibolite facies. Protoliths ~2560–2460 Ma."
"ALm2","ALm-----02","Mulgathing Complex unit 2","Meta-mafic rocks, undifferentiated."
