PROJECT,Prospect,SiteID,SiteType,DepthFrom,DepthTo,Lithology1,Lithology2,QUALIFIER1,QUALIFIER2,QUALIFIER3,QUALIFIER4,QUALIFIER5,TEXTURE,TEXTURE2,TEXTURE3,TEXTURE4,TEXTURE5,COLOUR1,Colour1_Intensity,COLOUR2,Colour2_Intensity,STRATIGRAPHY,STRUCTURE,LOGGEDBY,PRIORITY,COMMENTS,DataSource
MTW,UNK,MTWOOD1,UN,0.0,79.3,LCV,,,,,,,,,,,,GRY,,,,NL,,,1,cretaceous cover sequence,User
MTW,UNK,MTWOOD1,UN,79.3,95.7,IGB,,,,,,,,,,,,BLK,,,,NL,,,1,Gabbrioc,User
MTW,UNK,MTWOOD1,UN,95.7,113.0,IGB,,,,,,,,,,,,BLK,,,,NL,,,1,"Mainly massive, to dolerite, includes various distorted lenses of qz-mt granulite",User
MTW,UNK,MTWOOD1,UN,113.0,145.6,BIF,,,,,,,,,,,,BRN,,,,NL,,,1,"thin, laminated, magnetic BIF with interbeded layers of massive MT-Granulites.",User
MTW,UNK,MTWOOD2,UN,0.0,18.3,SSH,,,,,,,,,,,,GRY,,,,Kmb,,,1,Shale and siltstone with some secondary calcite,User
MTW,UNK,MTWOOD2,UN,18.3,91.4,SSH,,,,,,,,,,,,GRY,,,,NL,,,1,Shale and siltstone with some secondary calcite,User
MTW,UNK,MTWOOD2,UN,91.4,99.6,MGR,,,,,,,,,,,,GRY,,,,NL,,,1,Dence massive qtz-fspar-magnetite granulite with pyrite,User
MTW,UNK,MTWOOD3,UN,0.0,12.2,SSH,,,,,,,,,,,,,,,,Kmb,,,1,Partly sandy shales and siltstones,SARDEDB
MTW,UNK,MTWOOD3,UN,12.2,57.9,SSH,,,,,,,,,,,,,,,,CP1,,,1,Carbonaceous shale over fine gr. qtz. sandstone,SARDEDB
MTW,UNK,MTWOOD3,UN,57.9,72.2,MGR,,,,,,,,,,,,,,,,NL,,,1,Fine-med. gr. qtz-fspar-magnetite granulite,SARDEDB
MTW,UNK,MTWOOD4,UN,0.0,3.0,SSH,,,,,,,,,,,,YEL,,WHT,,Kmb,,,1,Yelloy-white shales and siltstones,User
MTW,UNK,MTWOOD4,UN,3.0,92.4,SSH,,,,,,,,,,,,GRY,,,,NL,,,1,Shale-sandstone,User
MTW,UNK,MTWOOD4,UN,92.4,93.5,MGN,,,,,,,,,,,,GRY,,,,NL,,,1,Medium grained granite gneiss,User
MTW,UNK,MTWOOD5,UN,1.0,12.2,SSH,,,,,,,,,,,,GRY,,,,Kmb,,,1,"pink, grey and yellow shales and mudstones",User
MTW,UNK,MTWOOD5,UN,12.2,48.8,SSH,,,,,,,,,,,,GRY,,,,NL,,,1,Carbonaceous shale over fine sandstone with basement pebbles,User
MTW,UNK,MTWOOD5,UN,48.8,50.9,MAM,,,,,,,,,,,,GRY,,,,NL,,,1,fine grained pyritic amplibolite,User
MTW,UNK,MTWOOD6,UN,0.0,12.0,SSH,,,,,,,,,,,,GRY,,,,Kmb,,,1,Various coloured shales,User
MTW,UNK,MTWOOD6,UN,12.0,61.6,SSH,,,,,,,,,,,,GRY,,,,NL,,,1,Carbonaceous shale over medium graines sandstone with large pebbles,User
MTW,UNK,MTWOOD6,UN,61.6,64.3,MGR,,,,,,,,,,,,GRY,,,,NL,,,1,qtz-fspar granulite with specular hematite in seams,User
MTW,UNK,MTWOOD7,UN,0.0,24.0,SSH,,,,,,,,,,,,GRY,,,,Kmb,,,1,Various coloured shales,User
MTW,UNK,MTWOOD7,UN,24.0,87.8,SSH,,,,,,,,,,,,GRY,,,,NL,,,1,"carbonaceous shale, fine grained quartz sandstone with pebbles",User
MTW,UNK,MTWOOD7,UN,87.8,90.58,MGR,,,,,,,,,,,,GRY,,,,NL,,,1,Skylark Metasediments,User
MTW,CPHR,MU004,UN,0.0,50.0,SST,,,,,,,,,,,,,,,,Kn4,,,1,Fine-coarse gr. feldspathic qtz sandstone. siltstone. coal,SARDEDB
MTW,CPHR,MU004,UN,50.0,140.0,SSL,,,,,,,,,,,,,,,,P-t,,,1,Carbon. siltstone. carbon. fine gr. sandstone. shale,SARDEDB
MTW,CPHR,MU004,UN,140.0,150.0,SSH,,,,,,,,,,,,,,,,CPs,,,1,Weakly calcareous shale with minor siltstone,SARDEDB
MTW,CPHR,MU005,UN,0.0,14.0,SSH,,,,,,,,,,,,,,,,Kmb,,,1,Gypseous clay over clayey and limey shale,SARDEDB
MTW,CPHR,MU005,UN,14.0,44.0,SST,,,,,,,,,,,,,,,,Kn4,,,1,Fine-coarse gr. feldpathic qtz sandstone. qtz-porphyry CGLM,SARDEDB
MTW,CPHR,MU005,UN,44.0,150.0,SST,,,,,,,,,,,,,,,,P-t,,,1,Fine-med. gr. carbon. sandstone. carbon. siltstone. coal,SARDEDB
MTW,CPHR,MU8,UN,0.0,56.0,SST,,,,,,,,,,,,GRY,,,,Kn4,,,1,Fine-grained feldspathic quartz sandstone,User
MTW,CPHR,MU8,UN,56.0,142.0,SSL,,,,,,,,,,,,GRY,,,,NL,,,1,Mount Toondina Formation,User
MTW,CPHR,MU9,UN,0.0,4.0,SCL,,,SST,,,,,,,,,GRY,,WHT,,KMB,,,1,"clay, sandstone and gypsum",User
MTW,CPHR,MU9,UN,4.0,59.0,SST,,,,,,,,,,,,GRY,LT,,,Kn4,,,1,,User
MTW,CPHR,MU9,UN,59.0,150.0,SSL,,,,,,,,,,,,GRY,,,,NL,,,1,Mount Toonlina Formation,User
MTW,CPHR,SDA2,UN,0.0,36.6,SSL,,,,,,,,,,,,AQU,,,,NL,,,1,Partly kaolinitic and sericitic mudstone,User
