Project,Prospect,SiteID,SiteType,DepthFrom,DepthTo,MagSus,Units
PROMHILL,,DP001,DH,95.8,98.0,0.65,
PROMHILL,,DP001,DH,98.0,100.0,0.82,
PROMHILL,,DP001,DH,100.0,102.0,0.67,
PROMHILL,,DP001,DH,102.0,104.0,0.9,
PROMHILL,,DP001,DH,104.0,106.0,0.77,
PROMHILL,,DP001,DH,106.0,108.0,0.97,
PROMHILL,,DP001,DH,108.0,110.0,0.62,
PROMHILL,,DP001,DH,110.0,112.0,1.12,
PROMHILL,,DP001,DH,112.0,114.0,1.3,
PROMHILL,,DP001,DH,114.0,116.0,0.85,
PROMHILL,,DP001,DH,116.0,118.0,0.7,
PROMHILL,,DP001,DH,118.0,120.0,0.85,
PROMHILL,,DP001,DH,120.0,122.0,1.02,
PROMHILL,,DP001,DH,122.0,124.0,1.25,
PROMHILL,,DP001,DH,124.0,126.0,1.15,
PROMHILL,,DP001,DH,126.0,128.0,0.85,
PROMHILL,,DP001,DH,128.0,130.0,1.15,
PROMHILL,,DP001,DH,130.0,132.0,0.95,
PROMHILL,,DP001,DH,132.0,134.0,1.0,
PROMHILL,,DP001,DH,134.0,136.0,0.7,
PROMHILL,,DP001,DH,136.0,138.0,0.87,
PROMHILL,,DP001,DH,138.0,140.0,0.32,
PROMHILL,,DP001,DH,140.0,142.0,0.57,
PROMHILL,,DP001,DH,142.0,144.0,0.62,
PROMHILL,,DP001,DH,144.0,146.0,0.8,
PROMHILL,,DP001,DH,146.0,148.0,0.9,
PROMHILL,,DP001,DH,148.0,150.0,0.75,
PROMHILL,,DP001,DH,150.0,152.0,0.8,
PROMHILL,,DP001,DH,152.0,154.0,1.42,
PROMHILL,,DP001,DH,154.0,156.0,0.8,
PROMHILL,,DP001,DH,156.0,158.0,0.67,
PROMHILL,,DP001,DH,158.0,160.0,0.67,
PROMHILL,,DP001,DH,160.0,162.0,0.67,
PROMHILL,,DP001,DH,162.0,164.0,0.75,
PROMHILL,,DP001,DH,164.0,166.0,0.77,
PROMHILL,,DP001,DH,166.0,168.0,0.67,
PROMHILL,,DP001,DH,168.0,170.0,0.7,
PROMHILL,,DP001,DH,170.0,172.0,0.75,
PROMHILL,,DP001,DH,172.0,174.0,0.77,
PROMHILL,,DP001,DH,174.0,176.0,0.77,
PROMHILL,,DP001,DH,176.0,178.0,0.8,
PROMHILL,,DP001,DH,178.0,180.0,0.95,
PROMHILL,,DP001,DH,180.0,182.0,0.75,
PROMHILL,,DP001,DH,182.0,184.0,0.9,
PROMHILL,,DP001,DH,184.0,186.0,0.45,
PROMHILL,,DP001,DH,186.0,188.0,0.72,
PROMHILL,,DP001,DH,188.0,190.0,0.95,
PROMHILL,,DP001,DH,190.0,192.0,0.87,
PROMHILL,,DP001,DH,192.0,194.0,0.95,
PROMHILL,,DP001,DH,194.0,196.0,0.95,
PROMHILL,,DP001,DH,196.0,198.0,0.85,
PROMHILL,,DP001,DH,198.0,200.0,0.85,
PROMHILL,,DP001,DH,200.0,202.0,0.77,
PROMHILL,,DP001,DH,202.0,204.0,0.52,
PROMHILL,,DP001,DH,204.0,206.0,0.82,
PROMHILL,,DP001,DH,206.0,208.0,1.07,
PROMHILL,,DP001,DH,208.0,210.0,0.97,
PROMHILL,,DP001,DH,210.0,212.0,0.92,
PROMHILL,,DP001,DH,212.0,214.0,0.9,
PROMHILL,,DP001,DH,214.0,216.0,0.62,
PROMHILL,,DP001,DH,216.0,218.0,0.92,
PROMHILL,,DP001,DH,218.0,220.0,0.95,
PROMHILL,,DP001,DH,220.0,222.0,0.5,
PROMHILL,,DP001,DH,222.0,224.0,0.47,
PROMHILL,,DP001,DH,224.0,226.0,0.67,
PROMHILL,,DP001,DH,226.0,228.0,1.02,
PROMHILL,,DP001,DH,228.0,230.0,1.15,
PROMHILL,,DP001,DH,230.0,232.0,0.97,
PROMHILL,,DP001,DH,232.0,234.0,0.72,
PROMHILL,,DP001,DH,234.0,236.0,0.75,
PROMHILL,,DP001,DH,236.0,238.0,0.92,
PROMHILL,,DP001,DH,238.0,240.0,0.82,
PROMHILL,,DP001,DH,240.0,242.0,1.05,
PROMHILL,,DP001,DH,242.0,244.0,0.77,
PROMHILL,,DP001,DH,244.0,246.0,1.47,
PROMHILL,,DP001,DH,246.0,248.0,1.57,
PROMHILL,,DP001,DH,248.0,250.0,1.62,
PROMHILL,,DP001,DH,250.0,252.0,1.4,
PROMHILL,,DP001,DH,252.0,254.0,2.1,
PROMHILL,,DP001,DH,254.0,256.0,2.0,
PROMHILL,,DP001,DH,256.0,258.0,1.05,
PROMHILL,,DP001,DH,258.0,260.0,1.82,
PROMHILL,,DP001,DH,260.0,262.0,1.45,
PROMHILL,,DP001,DH,262.0,263.3,2.3,
PROMHILL,,DP002,DH,99.6,100.0,2.46,
PROMHILL,,DP002,DH,100.0,102.0,1.72,
PROMHILL,,DP002,DH,102.0,104.0,1.23,
PROMHILL,,DP002,DH,104.0,106.0,2.09,
PROMHILL,,DP002,DH,106.0,108.0,1.8,
PROMHILL,,DP002,DH,108.0,110.0,1.54,
PROMHILL,,DP002,DH,110.0,112.0,1.72,
PROMHILL,,DP002,DH,112.0,114.0,1.49,
PROMHILL,,DP002,DH,114.0,116.0,2.06,
PROMHILL,,DP002,DH,116.0,118.0,1.46,
PROMHILL,,DP002,DH,118.0,120.0,1.57,
PROMHILL,,DP002,DH,120.0,122.0,1.06,
PROMHILL,,DP002,DH,122.0,124.0,1.06,
PROMHILL,,DP002,DH,124.0,126.0,2.06,
PROMHILL,,DP002,DH,126.0,128.0,1.34,
PROMHILL,,DP002,DH,128.0,130.0,1.23,
PROMHILL,,DP002,DH,130.0,132.0,2.0,
PROMHILL,,DP002,DH,132.0,134.0,1.06,
PROMHILL,,DP002,DH,134.0,136.0,1.86,
PROMHILL,,DP002,DH,136.0,138.0,0.91,
PROMHILL,,DP002,DH,138.0,140.0,1.66,
PROMHILL,,DP002,DH,140.0,142.0,1.14,
PROMHILL,,DP002,DH,142.0,144.0,1.4,
PROMHILL,,DP002,DH,144.0,146.0,1.6,
PROMHILL,,DP002,DH,146.0,148.0,2.06,
PROMHILL,,DP002,DH,148.0,150.0,0.71,
PROMHILL,,DP002,DH,150.0,152.0,1.72,
PROMHILL,,DP002,DH,152.0,154.0,0.02,
PROMHILL,,DP002,DH,154.0,156.0,1.8,
PROMHILL,,DP002,DH,156.0,158.0,1.03,
PROMHILL,,DP002,DH,158.0,160.0,0.91,
PROMHILL,,DP002,DH,160.0,162.0,1.17,
PROMHILL,,DP002,DH,162.0,164.0,1.26,
PROMHILL,,DP002,DH,164.0,166.0,1.09,
PROMHILL,,DP002,DH,166.0,168.0,0.91,
PROMHILL,,DP002,DH,168.0,170.0,0.63,
PROMHILL,,DP002,DH,170.0,172.0,1.03,
PROMHILL,,DP002,DH,172.0,174.0,0.37,
PROMHILL,,DP002,DH,174.0,176.0,0.83,
PROMHILL,,DP002,DH,176.0,178.0,1.2,
PROMHILL,,DP002,DH,178.0,180.0,0.8,
PROMHILL,,DP002,DH,180.0,182.0,0.91,
PROMHILL,,DP002,DH,182.0,184.0,1.06,
PROMHILL,,DP002,DH,184.0,186.0,0.48,
PROMHILL,,DP002,DH,186.0,188.0,1.17,
PROMHILL,,DP002,DH,188.0,190.0,1.03,
PROMHILL,,DP002,DH,190.0,192.0,1.09,
PROMHILL,,DP002,DH,192.0,194.0,0.68,
PROMHILL,,DP002,DH,194.0,196.0,0.66,
PROMHILL,,DP002,DH,196.0,198.0,0.51,
PROMHILL,,DP002,DH,198.0,200.0,0.97,
PROMHILL,,DP002,DH,200.0,202.0,0.54,
PROMHILL,,DP002,DH,202.0,204.0,0.66,
PROMHILL,,DP002,DH,204.0,206.0,0.51,
PROMHILL,,DP002,DH,206.0,208.0,0.66,
PROMHILL,,DP002,DH,208.0,210.0,0.8,
PROMHILL,,DP002,DH,210.0,212.0,0.71,
PROMHILL,,DP002,DH,212.0,214.0,0.77,
PROMHILL,,DP002,DH,214.0,216.0,0.86,
PROMHILL,,DP002,DH,216.0,218.0,0.48,
PROMHILL,,DP002,DH,218.0,220.0,1.46,
PROMHILL,,DP002,DH,220.0,222.0,0.83,
PROMHILL,,DP002,DH,222.0,224.0,0.11,
PROMHILL,,DP002,DH,224.0,226.0,0.51,
PROMHILL,,DP002,DH,226.0,228.0,0.45,
PROMHILL,,DP002,DH,228.0,230.0,0.94,
PROMHILL,,DP002,DH,230.0,232.0,1.17,
PROMHILL,,DP002,DH,232.0,234.0,1.72,
PROMHILL,,DP002,DH,234.0,236.0,1.29,
PROMHILL,,DP002,DH,236.0,238.0,1.52,
PROMHILL,,DP002,DH,238.0,240.0,0.63,
PROMHILL,,DP002,DH,240.0,242.0,1.6,
PROMHILL,,DP002,DH,242.0,244.0,1.03,
PROMHILL,,DP002,DH,244.0,246.0,1.06,
PROMHILL,,DP002,DH,246.0,248.0,2.87,
PROMHILL,,DP002,DH,248.0,250.0,1.57,
PROMHILL,,DP002,DH,250.0,252.0,1.46,
PROMHILL,,DP002,DH,252.0,254.0,1.4,
PROMHILL,,DP002,DH,254.0,256.0,1.17,
PROMHILL,,DP002,DH,256.0,258.0,1.14,
PROMHILL,,DP002,DH,258.0,260.0,1.77,
PROMHILL,,DP002,DH,260.0,262.0,1.37,
PROMHILL,,DP002,DH,262.0,264.0,1.69,
PROMHILL,,DP002,DH,264.0,266.0,1.17,
PROMHILL,,DP002,DH,266.0,268.0,0.88,
PROMHILL,,DP002,DH,268.0,270.0,0.43,
PROMHILL,,DP002,DH,270.0,272.0,1.49,
PROMHILL,,DP002,DH,272.0,274.0,0.91,
PROMHILL,,DP002,DH,274.0,276.0,0.11,
PROMHILL,,DP002,DH,276.0,278.0,1.89,
PROMHILL,,DP002,DH,278.0,280.0,1.4,
PROMHILL,,DP002,DH,280.0,282.0,1.4,
PROMHILL,,DP002,DH,282.0,284.0,2.0,
PROMHILL,,DP002,DH,284.0,286.0,2.43,
