PROJECT,SITE_ID,DEPTH_FROM,DEPTH_TO,DRILLERRUNLENGTH,CORERECOVERED,RECOVERYPERCENT,RQD,RQDPERCENT,NOFRACTURES,ROCKSTRENGTH,DESCRIPTION
PROMHILL,DP018,270.3,276.3,6.0,4.0,86.67,4.0,66.67,7,R4,Strong Rock
PROMHILL,DP018,276.3,282.3,6.0,4.2,100.0,4.0,66.67,8,R4,Strong Rock
PROMHILL,DP018,282.3,285.4,3.1,1.8,96.77,2.0,64.52,5,R4,Strong Rock
PROMHILL,DP018,285.4,288.2,2.8,1.5,85.71,1.0,35.71,6,R4,Strong Rock
PROMHILL,DP018,288.2,291.3,3.1,1.3,100.0,1.0,32.26,8,R4,Strong Rock
PROMHILL,DP018,291.3,295.0,3.7,0.9,94.59,1.0,27.03,5,R4,Strong Rock
PROMHILL,DP018,295.0,298.9,3.9,2.4,100.0,1.0,25.64,9,R4,Strong Rock
PROMHILL,DP018,298.9,301.7,2.8,1.7,96.43,1.0,35.71,3,R4,Strong Rock
PROMHILL,DP018,301.7,306.3,4.6,4.55,100.0,4.0,86.96,22,R4,Strong Rock
PROMHILL,DP018,306.3,312.3,6.0,6.06,101.83,6.0,100.0,15,R4,Strong Rock
PROMHILL,DP018,312.3,318.3,6.0,5.91,99.33,6.0,100.0,22,R4,Strong Rock
PROMHILL,DP018,318.3,324.3,6.0,5.85,99.17,6.0,100.0,18,R4,Strong Rock
PROMHILL,DP018,324.3,330.3,6.0,5.81,97.5,6.0,100.0,17,R4,Strong Rock
PROMHILL,DP018,330.3,336.3,6.0,6.15,102.5,6.0,100.0,7,R4,Strong Rock
PROMHILL,DP018,336.3,337.1,0.8,0.98,122.5,1.0,125.0,4,R4,Strong Rock
PROMHILL,DP018,337.1,342.3,5.2,4.79,95.77,5.0,96.15,9,R4,Strong Rock
PROMHILL,DP018,342.3,348.3,6.0,6.03,101.0,6.0,100.0,11,R4,Strong Rock
PROMHILL,DP018,348.3,354.3,6.0,6.04,100.67,5.0,83.33,12,R4,Strong Rock
PROMHILL,DP018,354.3,360.3,6.0,5.98,100.0,6.0,100.0,4,R4,Strong Rock
PROMHILL,DP018,360.3,366.3,6.0,5.89,99.17,5.0,83.33,13,R4,Strong Rock
PROMHILL,DP018,366.3,370.5,4.2,2.84,95.24,2.0,47.62,9999,R3,Medium Strong Rock
PROMHILL,DP018,370.5,375.1,4.6,4.35,95.43,4.0,86.96,11,R4,Strong Rock
PROMHILL,DP018,375.1,377.3,2.2,1.44,91.82,1.0,45.45,9999,R3,Medium Strong Rock
PROMHILL,DP018,377.3,381.3,4.0,3.91,99.5,4.0,100.0,2,R4,Strong Rock
PROMHILL,DP018,381.3,387.3,6.0,6.11,101.83,6.0,100.0,2,R4,Strong Rock
PROMHILL,DP018,387.3,393.3,6.0,6.0,100.0,6.0,100.0,6,R4,Strong Rock
PROMHILL,DP018,393.3,399.3,6.0,6.12,102.0,6.0,100.0,5,R4,Strong Rock
PROMHILL,DP018,399.3,405.3,6.0,6.08,101.33,6.0,100.0,16,R4,Strong Rock
PROMHILL,DP018,405.3,411.3,6.0,5.98,99.67,6.0,100.0,7,R4,Strong Rock
PROMHILL,DP018,417.3,425.3,8.0,8.0,100.0,8.0,100.0,6,R4,Strong Rock
PROMHILL,DP018,425.3,431.3,6.0,5.4,100.0,5.0,83.33,6,R4,Strong Rock
PROMHILL,DP018,431.3,437.3,6.0,4.8,90.0,4.0,66.67,18,R4,Strong Rock
PROMHILL,DP018,437.3,443.3,6.0,4.4,91.67,4.0,66.67,26,R4,Strong Rock
PROMHILL,DP018,443.3,449.3,6.0,5.8,100.0,5.0,83.33,20,R4,Strong Rock
PROMHILL,DP018,449.3,455.3,6.0,6.0,100.0,5.0,83.33,20,R4,Strong Rock
PROMHILL,DP018,455.3,461.3,6.0,6.0,100.0,6.0,100.0,16,R4,Strong Rock
PROMHILL,DP018,461.3,467.3,6.0,5.7,100.0,6.0,100.0,11,R4,Strong Rock
PROMHILL,DP018,467.3,473.3,6.0,5.8,100.0,6.0,100.0,15,R5,Very Strong Rock
PROMHILL,DP018,473.3,479.3,6.0,5.6,93.33,5.0,83.33,13,R4,Strong Rock
PROMHILL,DP018,479.3,485.3,6.0,5.4,93.33,4.0,66.67,18,R4,Strong Rock
PROMHILL,DP018,485.3,491.3,6.0,5.3,90.0,4.0,66.67,15,R4,Strong Rock
PROMHILL,DP018,491.3,495.3,4.0,4.7,135.0,5.0,125.0,7,R4,Strong Rock
PROMHILL,PH07D346,135.1,138.2,3.1,2.92,99.03,2.92,94.19,15,R4,Strong Rock
PROMHILL,PH07D346,138.2,141.3,3.1,3.1,100.0,3.1,100.0,5,R4,Strong Rock
PROMHILL,PH07D346,141.3,144.4,3.1,2.86,100.0,3.1,100.0,7,R4,Strong Rock
PROMHILL,PH07D346,144.4,147.5,3.1,2.98,100.0,2.56,82.58,25,R4,Strong Rock
PROMHILL,PH07D346,147.5,150.6,3.1,2.9,100.0,2.82,90.97,25,R4,Strong Rock
PROMHILL,PH07D346,150.6,152.8,2.2,1.7,90.91,1.57,71.36,30,R4,Strong Rock
PROMHILL,PH07D346,152.8,155.9,3.1,2.95,101.61,2.35,75.81,20,R4,Strong Rock
PROMHILL,PH07D346,155.9,159.0,3.1,2.6,100.0,2.6,83.87,30,R4,Strong Rock
PROMHILL,PH07D346,159.0,165.2,6.2,5.26,98.23,3.99,64.35,66,R4,Strong Rock
PROMHILL,PH07D346,165.2,171.4,6.2,5.34,98.06,4.5,72.58,70,R4,Strong Rock
PROMHILL,PH07D346,171.4,176.59,5.19,5.22,100.58,5.07,97.69,10,R4,Strong Rock
PROMHILL,PH07D346,176.59,177.3,0.71,0.0,43.66,0.0,0.0,21,R4,Strong Rock
PROMHILL,PH07D346,177.3,180.4,3.1,2.96,99.35,2.19,70.65,24,R4,Strong Rock
PROMHILL,PH07D346,180.4,183.5,3.1,3.1,100.0,3.03,97.74,10,R4,Strong Rock
PROMHILL,PH07D346,183.5,186.6,3.1,3.1,100.0,3.1,100.0,3,R4,Strong Rock
PROMHILL,PH07D346,186.6,189.6,3.0,3.0,100.0,2.94,98.0,5,R4,Strong Rock
PROMHILL,PH07D346,189.6,192.6,3.0,3.0,100.0,2.91,97.0,11,R4,Strong Rock
PROMHILL,PH07D346,192.6,195.6,3.0,3.16,100.0,3.16,100.0,10,R4,Strong Rock
PROMHILL,PH07D346,195.6,198.6,3.0,2.98,99.33,2.84,94.67,10,R4,Strong Rock
PROMHILL,PH07D346,198.6,201.6,3.0,3.0,100.0,3.0,100.0,9,R3,Medium Strong Rock
PROMHILL,PH07D346,201.6,204.6,3.0,2.8,93.33,2.71,90.33,11,R4,Strong Rock
PROMHILL,PH07D346,204.6,207.6,3.0,2.95,98.33,2.87,95.67,8,R4,Strong Rock
PROMHILL,PH07D346,207.6,210.6,3.0,2.96,98.67,2.84,94.67,11,R3,Medium Strong Rock
PROMHILL,PH07D346,210.6,213.6,3.0,3.08,102.67,2.68,89.33,9,R4,Strong Rock
PROMHILL,PH07D346,213.6,216.6,3.0,3.03,101.0,2.88,96.0,11,R4,Strong Rock
PROMHILL,PH07D346,216.6,219.6,3.0,2.95,100.0,2.25,75.0,12,R3,Medium Strong Rock
PROMHILL,PH07D346,219.6,222.6,3.0,2.96,98.67,2.96,98.67,10,R3,Medium Strong Rock
PROMHILL,PH07D346,222.6,225.6,3.0,2.85,100.0,2.09,69.67,27,R4,Strong Rock
PROMHILL,PH07D346,225.6,228.6,3.0,3.0,100.0,3.0,100.0,8,R4,Strong Rock
PROMHILL,PH07D346,228.6,231.6,3.0,3.0,100.0,2.93,97.67,7,R4,Strong Rock
PROMHILL,PH07D346,231.6,234.4,2.8,1.74,80.71,1.74,62.14,33,R4,Strong Rock
PROMHILL,PH07D346,234.4,237.3,2.9,2.46,100.0,2.37,81.72,23,R4,Strong Rock
PROMHILL,PH07D346,237.3,240.4,3.1,2.54,96.77,2.54,81.94,27,R4,Strong Rock
PROMHILL,PH07D346,240.4,246.6,6.2,6.13,99.68,5.85,94.35,25,R4,Strong Rock
PROMHILL,PH07D346,246.6,252.6,6.0,5.6,95.67,5.25,87.5,22,R4,Strong Rock
PROMHILL,PH07D346,252.6,258.6,6.0,5.04,97.83,4.93,82.17,40,R4,Strong Rock
PROMHILL,PH07D346,258.6,261.6,3.0,3.04,101.33,2.78,92.67,13,R4,Strong Rock
PROMHILL,PH07D346,261.6,266.1,4.5,4.5,100.0,4.42,98.22,10,R4,Strong Rock
PROMHILL,PH07D346,266.1,270.6,4.5,4.31,95.78,4.01,89.11,13,R4,Strong Rock
PROMHILL,PH07D346,270.6,276.6,6.0,5.98,99.67,5.98,99.67,6,R4,Strong Rock
PROMHILL,PH07D346,276.6,282.6,6.0,6.0,100.0,5.92,98.67,7,R4,Strong Rock
PROMHILL,PH07D346,282.6,285.6,3.0,3.04,101.33,3.04,100.0,3,R3,Medium Strong Rock
PROMHILL,PH07D346,285.6,290.6,5.0,4.91,98.2,4.91,98.2,2,R3,Medium Strong Rock
PROMHILL,PH07D346,290.6,292.6,2.0,1.4,86.0,1.4,70.0,23,R4,Strong Rock
PROMHILL,PH07D346,292.6,298.0,5.4,5.23,100.93,5.39,99.81,25,R4,Strong Rock
PROMHILL,PH07D346,298.0,304.5,6.5,6.3,98.92,6.16,94.77,21,R4,Strong Rock
PROMHILL,PH07D346,304.5,310.9,6.4,5.95,100.63,4.39,68.59,67,R4,Strong Rock
PROMHILL,PH07D346,310.9,317.4,6.5,6.13,97.69,5.68,87.38,42,R4,Strong Rock
PROMHILL,PH07D346,317.4,323.9,6.5,6.13,96.92,6.12,94.15,24,R4,Strong Rock
PROMHILL,PH07D346,323.9,330.3,6.4,6.26,100.94,6.2,96.88,31,R4,Strong Rock
PROMHILL,PH07D346,330.3,336.8,6.5,4.36,98.92,5.93,91.23,27,R4,Strong Rock
PROMHILL,PH07D346,336.8,342.9,6.1,6.26,102.62,6.17,100.0,10,R4,Strong Rock
PROMHILL,PH07D346,342.9,348.9,6.0,5.93,98.83,5.6,93.33,15,R4,Strong Rock
PROMHILL,PH07D346,348.9,354.9,6.0,5.01,100.5,5.6,93.33,29,R4,Strong Rock
PROMHILL,PH07D346,354.9,360.9,6.0,6.07,101.17,6.01,100.0,3,R4,Strong Rock
PROMHILL,PH07D346,360.9,366.9,6.0,5.94,99.0,5.94,99.0,13,R4,Strong Rock
PROMHILL,PH07D346,366.9,372.9,6.0,6.04,100.67,6.04,100.0,3,R4,Strong Rock
PROMHILL,PH07D346,372.9,378.9,6.0,5.71,96.17,5.61,93.5,13,R4,Strong Rock
PROMHILL,PH07D346,378.9,384.9,6.0,6.13,102.17,6.07,100.0,12,R4,Strong Rock
PROMHILL,PH07D346,384.9,390.9,6.0,5.98,99.67,5.9,98.33,6,R4,Strong Rock
PROMHILL,PH07D346,390.9,396.5,5.6,4.49,99.46,4.2,75.0,9999,R4,Strong Rock
PROMHILL,PH07D346,396.5,402.7,6.2,5.96,98.23,4.57,73.71,41,R4,Strong Rock
PROMHILL,PH07D346,402.7,407.3,4.6,4.55,103.91,4.38,95.22,29,R4,Strong Rock
PROMHILL,PH07D346,407.3,411.6,4.3,4.2,103.49,4.04,93.95,31,R4,Strong Rock
PROMHILL,PH07D346,411.6,417.9,6.3,6.22,100.32,6.06,96.19,31,R4,Strong Rock
PROMHILL,PH07D346,417.9,422.6,4.7,4.82,102.55,4.46,94.89,21,R4,Strong Rock
PROMHILL,PH07D346,422.6,429.1,6.5,6.33,98.31,5.79,89.08,39,R4,Strong Rock
PROMHILL,PH07D346,429.1,435.1,6.0,6.01,100.17,5.77,96.17,16,R4,Strong Rock
PROMHILL,PH07D346,435.1,441.6,6.5,6.49,99.85,6.16,94.77,18,R4,Strong Rock
PROMHILL,PH07D346,441.6,447.9,6.3,6.24,101.27,5.99,95.08,26,R4,Strong Rock
PROMHILL,PH07D346,447.9,453.9,6.0,5.92,98.67,5.65,94.17,9,R4,Strong Rock
PROMHILL,PH07D346,453.9,459.9,6.0,6.02,100.33,5.8,96.67,17,R4,Strong Rock
PROMHILL,PH07D346,459.9,463.9,4.0,3.88,97.0,3.88,97.0,8,R4,Strong Rock
PROMHILL,PH07D346,463.9,470.4,6.5,6.34,99.38,5.98,92.0,19,R4,Strong Rock
PROMHILL,PH07D346,489.8,495.9,6.1,6.22,101.97,6.21,100.0,8,R4,Strong Rock
PROMHILL,PH07D346,495.9,501.9,6.0,5.74,98.33,5.56,92.67,21,R4,Strong Rock
PROMHILL,PH07D346,501.9,507.9,6.0,5.77,99.67,5.44,90.67,40,R4,Strong Rock
PROMHILL,PH07D346,507.9,513.9,6.0,6.0,100.0,5.81,96.83,14,R4,Strong Rock
PROMHILL,PH07D346,513.9,519.9,6.0,5.88,98.0,5.67,94.5,10,R4,Strong Rock
