HOLE,PROJECT,SDEPTH,GRID,AzimOrig,DIP,North_Adjust,AzimMGA,Z_UNITS,Temp_C,MAGNETICFIELD,Comments
90EROSRC1,SAR,0.0,MGA94_53_Z,360.0,-60.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
90SIMRC1,SAR,0.0,MGA94_53_Z,50.0,-60.0,0,50.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
90URANRC1,SAR,0.0,MGA94_53_Z,360.0,-60.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
91NSRC1,SAR,0.0,MGA94_53_Z,360.0,-60.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
92RCD1,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
93RC4,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
93RC5D,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
93RC7,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC11,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC16,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC19,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC23,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC32,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94AC42,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94ACD22,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
94ACD33,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC45,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC49,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC70,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC72,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC79,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC81,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
95AC86,SAR,0.0,MGA94_53_Z,360.0,-90.0,0,0.0,METRES,,, Magnetic Minerals = NONE Magnetic Dip = 
